,Filename,Questions,Interviewerin,Arzt
44,50_Das Virus kommt wieder.pdf,"Quo vadis, Nordrhein-Westfalen? Quo vadis, Deutschland? Bleibt das ein örtlich begrenztes Infektionsgeschehen? Was können wir hier in Deutschland von all dem lernen? Und wir wollen fragen: Wo stehen wir genau eigentlich in der Pandemie? Was können wir den Sommer über als Leitplanken für unser Handeln im Alltag mitnehmen? Ist so ein Ausbruch wie bei Tönnies dort womöglich eine Vorschau auf das, was im Herbst und Winter passieren könnte wegen des Temperatureffekts? Eine Warnung gewissermaßen, wie schnell das gehen kann? Müssen wir auch noch einen besonderen Blick auf spezielle Wohnverhältnisse in anderem Hinblick werfen? Was sagt uns das? Droht da tatsächlich auch eine zweite Welle? Wie schätzen Sie das ein?Können wir von Israel zum Beispiel etwas lernen, gerade was das Schulthema angeht, was wir anders machen könnten, jetzt noch, wo wir es in der Hand haben?Also gegen die Epidemie vorgehen und nicht gegen die, die verantwortlich sind für das Vorgehen gegen die Epidemie.So wie Sie.Wenn wir noch mal auf die Frage blicken, was können wir denn in den Schulen machen? Müssen wir da doch noch mal über alternative Testmethoden nachdenken? Also vielleicht Reihentests, und mit Speicheltests arbeiten oder mit Stuhlproben? Wie bewerten Sie das? Was war da anders?Also wie viele Antikörper.Wenn wir die Schulen nach den Sommerferien öffnen, halten wir einmal fest, ist zum einen natürlich wichtig, sich zu überlegen: Unter welchen Begleitmaßnahmen sollte das passieren? Trotzdem, wenn wir auf den Sommer blicken und gucken, was können wir uns alle noch mal in Erinnerung rufen? Was müssen wir berücksichtigen? Ist das eine Empfehlung, von der Sie sagen würden, die sollten wir in Deutschland auch mitnehmen in den Sommer? Jetzt müssen alle vielleicht ein bisschen tapfer sein, für die Auch in Hinblick auf das Coronavirus, meinen Sie jetzt speziell? Nehmen Sie sich dann richtig frei?",KORINNA HENNIG,CHRISTIAN DROSTEN
45,51_Sonderausgabe_ Leben mit Ungewissheit.pdf,,ANJA MARTINI,
46,52_Sonderausgabe_ Der Wettlauf um den Impfstoff.pdf,,ANJA MARTINI,
47,53_Sonderausgabe_ Wie kommen wir ohne Lockdown durch den Herbst_.pdf,"Das Thema diesmal: Wie kommen wir ohne Lockdown durch Herbst und Winter? Was ist los im Moment bei uns? Wie viele Menschen werden infiziert? Das andere ist aber auch: Wie ist die Dynamik in Bezug auf die zeitliche Veränderung? Und dann ist der Punkt, der wurde auch angesprochen, wie bekommen wir die Balance hin, noch ein Leben unter bestimmten Umständen zu fahren und trotzdem diese Regeln so gut wie möglich einzuhalten? Was bedeutet das dann, dass wir keine Infektionsketten mehr haben und hier einen Ausbruch, da einen und hier einen? Was stellen Sie fest, wenn wir auf die Erkrankung gucken? Woran kann das liegen? Vielleicht, dass die Kinder gar nicht so viel unterwegs waren in den letzten Monaten? Wenn wir genau hingucken, nämlich da, wo die Kinder im Moment sind, in den Schulen, dann müsste Ihnen, Herr Kriegel, eigentlich ein bisschen schlecht werden, oder? Was ist denn jetzt los? Was genau passiert, wenn ich mit Ihnen in einem Raum sitze, wir uns gegenübersitzen und miteinander reden ohne Maske? Da ist es ein bisschen unklar in der Öffentlichkeit, was sind denn Tröpfchen und was sind Aerosole? Und auf der anderen Seite, wie viel Virus braucht es eigentlich, um eine Infektion auszulösen? Wie war die Luftqualitätssituation in diesen Räumlichkeiten und wieviele haben sich angesteckt? Herr Kriegel, kann sich  dieses Land vielleicht erlauben, so kritische Raumsituationen wie in den Schulen, da gibt es sicher auch noch andere, mit Lüftungsanlagen zu versehen, die dieses Problem lösen? Aber was kann man aus epidemio logischer Sicht tun? Warum? Es gibt sicher kein Patentrezept und wir  müssen die Augen offen haben für neue Lösungen, die auch aus anderen Ländern kommen können.Frau Ciesek, wäre das eine Lösung, die Pooltestungen an Schulen?Aber wie weit sind wir mit diesen Antigentests? Das bringt uns eine große Bewegungsfreiheit, da stimme ich vollkommen zu wenn es diese Tests dann gibt.Wenn wir jetzt von den Schülern einen kleinen Schritt weggehen und schauen, wie könnten wir im Herbst und im Winter unsere Teststrategie verbessern? Wie könnte das für den Herbst und  den Winter weitergehen? Worauf müssen wir achten?",ANJA MARTINI,SANDRA CIESEK
48,54_Eine Empfehlung für den Herbst.pdf,"Eine klassische Frage, die wir Journalisten gerade gerne immer wieder stellen, ist die Frage: Wo stehen wir? Ist das schon die Schwelle zur zweiten Welle? Wie ist der Zusammenhang zwischen Tests und Infektionszahlen? Wie lange kann man das noch aufrechterhalten? Können wir die Zahl der Neuinfektionen noch länger so kontrollieren, wie es jetzt versucht wird? Eine interessante Überlegung dabei ist, warum ist das so unterschiedlich? Wie können wir versuchen, es zumindest zu verhindern, dass eine solche Schwelle erreicht wird, ein solcher Schwelleneffekt? Wenn wir sagen, wir sind in dem Tanz mit dem Tiger, wir versuchen mit dem Virus zu leben und trotzdem das Infektionsgeschehen einzudämmen, dann beinhaltet das auch: Man lässt Situation zu, dokumentiert sie aber gut genug.Aber nicht 14 Tage lang, oder? Trotzdem: Von 14 Tagen auf fünf Tage runter Œ reicht das aus, um weitere Ansteckungen weitestgehend zu verhindern? Oder müssen wir da mit einem Restrisiko leben?Aber wie bemisst man das? Das ist in der Forschung, wenn ich richtig informiert bin, noch nicht ganz klar: Wie viel Virus brauche ich denn überhaupt, um jemand anderen anzustecken? Man muss jetzt einfach mal eine Zahl sagen: Ab wann in Form von Viruslast ist jemand noch infektiös? Was sagen Sie Freunden, die fragen: Wie kann ich jetzt damit umgehen? Sollen wir weiterhin immer noch, wie im Frühjahr, viel Abstand halten, auch draußen und in geschlossenen Räumen, uns von Risiko gruppen, Vorerkrankten und Älteren fernhalten?WEITERHIN VON DEN GROSSELTERN FERNHALTEN?Auch wenn die Inkubationszeit länger sein kann?",KORINNA HENNIG,CHRISTIAN DROSTEN
49,55_Der weiße Fleck in der Pandemie - Skript herunterladen.pdf,"Welche Rolle spielen asymptomatische Infizierte? Wie ansteckend können sie sein? Und was können wir alle für unser persönliches Verhalten daraus ableiten? Wie nah ist Ihnen bei diesen Dingen noch diese Patientenperspektive, die Sie ja nicht mehr unmittelbar miterleben? Aber wie würden Sie das aus dieser Patientenperspektive dann sagen, auch gerade was untypische Symptome angeht? Es gibt da eine Untersuchung aus den USA, die mit so einer App Wie lang kann so eine Phase sein? Was weiß die  Forschung da? Wie kann man abschätzen, wie häufig das vorkommt, wie häufig Menschen asymptomatisch präsymptomatisch infiziert sind?Wie gut kann man das bei diesen Schätzungen abgrenzen gegen andere Infektionskrankheiten mit ähnlichen Symptomen, die da auch ins Spiel kommen? Was weiß die Forschung darüber bei Asymptomatischen? Weiß man schon ein bisschen mehr über andere biologische Faktoren, die mich zu jemandem machen könnten, der potenziell viele Menschen anstecken kann, auch wenn ich keine Symptome habe? Warum diese fünf Tage? Welche Rolle  spielen möglicherweise andere Faktoren wie das Alter?SYMPTOME BEI KINDERNNach wie vor.Weil sie diese Symptome tatsächlich haben oder weil Kinder sich auch einfach schwertun, Symptome zu schildern? Das kennen Eltern vielleicht oft, dass Kinder sagen: —Mein Bauch tut weh.ﬁ, wenn es ihnen irgendwie nicht gut geht.Das heißt Œ das fragen auch immer wieder Hörerinnen  und Hörer bei uns nach Œ: Wie soll ich denn jetzt tatsächlich in der Praxis mit dieser Tatsache umgehen,  dass Schnupfen so schwer einzuordnen ist? Wie  machen Sie das? Gibt es da Erkenntnisse, vielleicht auch aus anderen Epidemien?Und was ist mit uns Gesunden, Nicht-Risikopatienten, um die mit zu schützen?",KORINNA HENNIG,SANDRA CIESEK
50,55_Der weiße Fleck in der Pandemie.pdf,"Welche Rolle spielen asymptomatische Infizierte? Wie ansteckend können sie sein? Und was können wir alle für unser persönliches Verhalten daraus ableiten? Wie nah ist Ihnen bei diesen Dingen noch diese Patientenperspektive, die Sie ja nicht mehr unmittelbar miterleben? Aber wie würden Sie das aus dieser Patientenperspektive dann sagen, auch gerade was untypische Symptome angeht? Es gibt da eine Untersuchung aus den USA, die mit so einer App Wie lang kann so eine Phase sein? Was weiß die  Forschung da? Wie kann man abschätzen, wie häufig das vorkommt, wie häufig Menschen asymptomatisch präsymptomatisch infiziert sind?Wie gut kann man das bei diesen Schätzungen abgrenzen gegen andere Infektionskrankheiten mit ähnlichen Symptomen, die da auch ins Spiel kommen? Was weiß die Forschung darüber bei Asymptomatischen? Weiß man schon ein bisschen mehr über andere biologische Faktoren, die mich zu jemandem machen könnten, der potenziell viele Menschen anstecken kann, auch wenn ich keine Symptome habe? Warum diese fünf Tage? Welche Rolle  spielen möglicherweise andere Faktoren wie das Alter?SYMPTOME BEI KINDERNNach wie vor.Weil sie diese Symptome tatsächlich haben oder weil Kinder sich auch einfach schwertun, Symptome zu schildern? Das kennen Eltern vielleicht oft, dass Kinder sagen: —Mein Bauch tut weh.ﬁ, wenn es ihnen irgendwie nicht gut geht.Das heißt Œ das fragen auch immer wieder Hörerinnen  und Hörer bei uns nach Œ: Wie soll ich denn jetzt tatsächlich in der Praxis mit dieser Tatsache umgehen,  dass Schnupfen so schwer einzuordnen ist? Wie  machen Sie das? Gibt es da Erkenntnisse, vielleicht auch aus anderen Epidemien?Und was ist mit uns Gesunden, Nicht-Risikopatienten, um die mit zu schützen?",KORINNA HENNIG,SANDRA CIESEK
51,56_Das Afrika-Rätsel - Skript herunterladen.pdf,"Also gerade diese Frage: Was haben die Maßnahmen eigentlich gebracht? Kann man die denn eigentlich, ganz allgemein gesagt, belastbar bewerten? Ist dieses Zahlenverhältnis ein Beleg dafür, dass man tatsächlich sagen muss: Die richtig Gefährdeten sind die tatsächlich alten und sehr alten Menschen und Jüngere können eigentlich aufatmen? Wäre das sinnvoll, grundsätzlich nur Hochrisikogruppen zu testen, also die, die Kontakt zu einem Infizierten hatten oder selbst schon Symptome entwickelt haben? Wie kann man mit diesem Problem der Vortest-Wahrscheinlichkeit auch in der Kommunikation umgehen? Was kann immunologisch überhaupt passieren und passiert sein? Ist es eigentlich denkbar, fragt er, dass das Immunsystem Œ das kann man jetzt natürlich auch für Europa stellen, diese Frage Œ trainiert wird, wenn man öfter mit einer niedrigen Viruslast konfrontiert wird, also öfter Infizierten begegnet, die aber nicht so viel Virus ausscheiden oder man bekommt nicht so viel ab Œ hemdsärmelig gesprochen Œ,  also ein gewisser Gewöhnungseffekt an das Coronavirus entsteht und dann, wenn man einem hochinfektiösen Menschen begegnet, eine Infektion schwächer ausfällt?",KORINNA HENNIG,CHRISTIAN DROSTEN
52,56_Das Afrika-Rätsel.pdf,"Also gerade diese Frage: Was haben die Maßnahmen eigentlich gebracht? Kann man die denn eigentlich, ganz allgemein gesagt, belastbar bewerten? Ist dieses Zahlenverhältnis ein Beleg dafür, dass man tatsächlich sagen muss: Die richtig Gefährdeten sind die tatsächlich alten und sehr alten Menschen und Jüngere können eigentlich aufatmen? Wäre das sinnvoll, grundsätzlich nur Hochrisikogruppen zu testen, also die, die Kontakt zu einem Infizierten hatten oder selbst schon Symptome entwickelt haben? Wie kann man mit diesem Problem der Vortest-Wahrscheinlichkeit auch in der Kommunikation umgehen? Was kann immunologisch überhaupt passieren und passiert sein? Ist es eigentlich denkbar, fragt er, dass das Immunsystem Œ das kann man jetzt natürlich auch für Europa stellen, diese Frage Œ trainiert wird, wenn man öfter mit einer niedrigen Viruslast konfrontiert wird, also öfter Infizierten begegnet, die aber nicht so viel Virus ausscheiden oder man bekommt nicht so viel ab Œ hemdsärmelig gesprochen Œ,  also ein gewisser Gewöhnungseffekt an das Coronavirus entsteht und dann, wenn man einem hochinfektiösen Menschen begegnet, eine Infektion schwächer ausfällt?",KORINNA HENNIG,CHRISTIAN DROSTEN
53,57_Goldstandard bleibt der PCR-Test - Skript herunterladen.pdf,"Was für Tests gibt es auf das Coronavirus? Was können sie? Was nicht? Hat Sie das zum jetzigen Zeitpunkt überrascht? Ist das auf den ersten Blick ein guter Plan? Entscheidend ist aber, hier wird kein Abstrich im Rachen gemacht oder im Speichel, sondern es braucht einen Tropfen Blut oder Blutserum.Die verhindern, dass die Zelle das Virus aufnehmen kann.Wenn wir über AntikörperSchnelltests sprechen, die auch immer wieder im Gespräch sind, wo kommen da die Neutralisationstests ins Spiel? Also die Frage ist in beide Richtungen offen, oder?Also ein relativ gutes Ergebnis für den Speicheltest.Man braucht viel Spucke.Ist genau dieser Zeitpunkt am Morgen relevant? Also wo viele Infizierte sind,  da kann man das Virus auch in der Kanalisation nachweisen und gucken, wo stehen wir in diesem Landkreis gerade? Wie weit ist die Forschung da? Was für Anbieter sind da überhaupt im Moment auf dem Markt? Womit arbeiten die Diagnostiker? Kommerzielle, nichtkommerzielle Tests? Es geht bei der PCR darum, in mehreren hintereinander ablaufenden Zyklen das Erbgut des Virus zu vervielfältigen, um es sichtbar zu machen, richtig?Bausteine von Nukleinsäure? Spielt das auch eine Rolle? Wo stehen wir da? Woher wissen Sie das genau? Welche Faktoren führen dazu, wenn doch eigentlich die Sensitivität sehr hoch ist, also die Empfindlichkeit des Tests, einen Infizierten tatsächlich auch als solchen zu erkennen?Wissen Sie aus der Praxis mittlerweile was über den bestmöglichen Zeitpunkt im Infektionsverlauf für eine PCR? Viele Ärzte stehen vor der Frage: Wann soll ich testen? Wann soll ich einen Abstrich machen? Was raten Sie, wenn Sie sich denn da vorwagen, Hausärzten und Hausärztinnen, wann sollen sie einen Abstrich machen und einen PCRTest auf das Virus?",KORINNA HENNIG,SANDRA CIESEK
54,57_Goldstandard bleibt der PCR-Test.pdf,"Was für Tests gibt es auf das Coronavirus? Was können sie? Was nicht? Hat Sie das zum jetzigen Zeitpunkt überrascht? Ist das auf den ersten Blick ein guter Plan? Entscheidend ist aber, hier wird kein Abstrich im Rachen gemacht oder im Speichel, sondern es braucht einen Tropfen Blut oder Blutserum.Die verhindern, dass die Zelle das Virus aufnehmen kann.Wenn wir über AntikörperSchnelltests sprechen, die auch immer wieder im Gespräch sind, wo kommen da die Neutralisationstests ins Spiel? Also die Frage ist in beide Richtungen offen, oder?Also ein relativ gutes Ergebnis für den Speicheltest.Man braucht viel Spucke.Ist genau dieser Zeitpunkt am Morgen relevant? Also wo viele Infizierte sind,  da kann man das Virus auch in der Kanalisation nachweisen und gucken, wo stehen wir in diesem Landkreis gerade? Wie weit ist die Forschung da? Was für Anbieter sind da überhaupt im Moment auf dem Markt? Womit arbeiten die Diagnostiker? Kommerzielle, nichtkommerzielle Tests? Es geht bei der PCR darum, in mehreren hintereinander ablaufenden Zyklen das Erbgut des Virus zu vervielfältigen, um es sichtbar zu machen, richtig?Bausteine von Nukleinsäure? Spielt das auch eine Rolle? Wo stehen wir da? Woher wissen Sie das genau? Welche Faktoren führen dazu, wenn doch eigentlich die Sensitivität sehr hoch ist, also die Empfindlichkeit des Tests, einen Infizierten tatsächlich auch als solchen zu erkennen?Wissen Sie aus der Praxis mittlerweile was über den bestmöglichen Zeitpunkt im Infektionsverlauf für eine PCR? Viele Ärzte stehen vor der Frage: Wann soll ich testen? Wann soll ich einen Abstrich machen? Was raten Sie, wenn Sie sich denn da vorwagen, Hausärzten und Hausärztinnen, wann sollen sie einen Abstrich machen und einen PCRTest auf das Virus?",KORINNA HENNIG,SANDRA CIESEK
55,58_Das Gedächtnis der Zellen - Skript herunterladen.pdf,"Warum ist da so? Wo stecken sich Kinder gegenseitig an? Wo stecken sie ihre Eltern an, wenn sie Erstfälle in Schulen sind, von denen Infektions ketten ausgehen? Gibt es diese Daten gar nicht? Was können Sie von der Forschungsseite dazu beitragen? Wie kann man denn trotzdem erklären, dass diese Entwicklung so unterschiedlich ist im Vergleich zu Deutschland, dass der Anstieg  anderswo nach dem Sommer so rasant gegangen, trotz der Maßnahmen? Also wenn ich jünger bin, aber eine Krebserkrankung überstanden habe oder eine andere chronische Erkrankung habe, dann könnte der Zustand meiner T-Zellen ein Risiko für einen schweren Verlauf darstellen, richtig?Aber in der Regel geht ein immunologisches höheres Alter oft zumindest auch mit dem biologischen höheren Alter des Menschen einher.Können wir denn aus diesem Befund über die T-Zellen, die unterschiedlich reagieren, Erkenntnisse ableiten, möglicherweise, oder neue Fragestellungen für die Entwicklung von Impfstoffen und von therapeutischen Medikamenten?Und nicht der erste Impfstoff bringt gleich den Durchbruch.Herr Drosten, abschließend die Frage Œ weil wir jetzt zuletzt über immunologisches Alter und biologisches Alter gesprochen haben: Wie wichtig ist es denn, dass ältere Menschen in diesen Impfstoffstudien vorkommen? Und inwieweit ist das möglich?",KORINNA HENNIG,CHRISTIAN DROSTEN
56,58_Das Gedächtnis der Zellen.pdf,"Warum ist da so? Wo stecken sich Kinder gegenseitig an? Wo stecken sie ihre Eltern an, wenn sie Erstfälle in Schulen sind, von denen Infektions ketten ausgehen? Gibt es diese Daten gar nicht? Was können Sie von der Forschungsseite dazu beitragen? Wie kann man denn trotzdem erklären, dass diese Entwicklung so unterschiedlich ist im Vergleich zu Deutschland, dass der Anstieg  anderswo nach dem Sommer so rasant gegangen, trotz der Maßnahmen? Also wenn ich jünger bin, aber eine Krebserkrankung überstanden habe oder eine andere chronische Erkrankung habe, dann könnte der Zustand meiner T-Zellen ein Risiko für einen schweren Verlauf darstellen, richtig?Aber in der Regel geht ein immunologisches höheres Alter oft zumindest auch mit dem biologischen höheren Alter des Menschen einher.Können wir denn aus diesem Befund über die T-Zellen, die unterschiedlich reagieren, Erkenntnisse ableiten, möglicherweise, oder neue Fragestellungen für die Entwicklung von Impfstoffen und von therapeutischen Medikamenten?Und nicht der erste Impfstoff bringt gleich den Durchbruch.Herr Drosten, abschließend die Frage Œ weil wir jetzt zuletzt über immunologisches Alter und biologisches Alter gesprochen haben: Wie wichtig ist es denn, dass ältere Menschen in diesen Impfstoffstudien vorkommen? Und inwieweit ist das möglich?",KORINNA HENNIG,CHRISTIAN DROSTEN
57,59_Der amerikanische Patient - Skript herunterladen.pdf,"Was genau passiert in allen diesen Phasen?Wie ist das mit dem Tiermodell beim SARS-CoV-2? Was genau machen die? Aber was ist denn mit einem moderaten Verlauf? Es gibt weitere Studien, jetzt eine Phase3Studie, die im August veröffentlicht wurde zum Beispiel.Was weiß man denn bei Remdesivir mittlerweile über den Zeitpunkt, wann es verabreicht werden muss? Bei Sonneneinstrahlung wird Vitamin D3 Jetzt haben Sie gerade darüber gesprochen über eine Infektion überhaupt, begünstigt es eine Infektion, wenn man zu wenig Vitamin D im Blut hat? Was ist mit den Krankheitsverlauf? Viele fragen sich tatsächlich, wenn sie ihn sehen, sieht er jetzt eigentlich gesund aus oder sieht er krank aus?",KORINNA HENNIG,SANDRA CIESEK
58,59_Der amerikanische Patient.pdf,"Was genau passiert in allen diesen Phasen?Wie ist das mit dem Tiermodell beim SARS-CoV-2? Was genau machen die? Aber was ist denn mit einem moderaten Verlauf? Es gibt weitere Studien, jetzt eine Phase3Studie, die im August veröffentlicht wurde zum Beispiel.Was weiß man denn bei Remdesivir mittlerweile über den Zeitpunkt, wann es verabreicht werden muss? Bei Sonneneinstrahlung wird Vitamin D3 Jetzt haben Sie gerade darüber gesprochen über eine Infektion überhaupt, begünstigt es eine Infektion, wenn man zu wenig Vitamin D im Blut hat? Was ist mit den Krankheitsverlauf? Viele fragen sich tatsächlich, wenn sie ihn sehen, sieht er jetzt eigentlich gesund aus oder sieht er krank aus?",KORINNA HENNIG,SANDRA CIESEK
59,5_Wir brauchen pragmatische Lösungen.pdf,"Doch was bedeutet das jetzt für jeden einzelnen von uns? Und was heißt das eigentlich für unser Gesundheitssystem? Sind denn die Hausärzte mit der Situation überfordert? Oder kann man denen das abnehmen? Uns erreichen viele Fragen zur Ansteckung Œ etwa: Wie lange lebt das Virus auf der Türklinke, dem Gerät im Fitnessstudio oder auch auf dem Geldstück? Kann ich das danach noch anfassen? Jetzt gibt es sehr spannende Anregungen, die vorschlagen: Wie wäre es denn eigentlich, wenn wir jetzt einfach mal ganz Deutschland für einen Moment in die Pause schicken? Und dann könnte das Virus doch eigentlich schon fast weg sein, oder?Anja Martini Das heißt, was ist jetzt der richtige Weg, weiterhin die Ansteckungskette zu prüfen? Die Infektionsketten prüfen und schauen, wo das Virus herkommt? Werden wir denn immer weiter testen können, wo das Virus herkommt? Ist der schon in der Entwicklung? Wir können bei den Immun-Korrelaten gucken: Haben wir eine zelluläre Immunantwort? Haben wir eine Antikörper-Antwort?",ANJA MARTINI,CHRISTIAN DROSTEN
60,60_Das Dilemma der Politik - Skript herunterladen.pdf,"War das aus Ihrer Sicht ein Ausrutscher?Was befürchten Sie da?Ist denn dieses Beherbergungsverbot überhaupt sinnvoll? So ein negatives Testergebnis, das dann gefordert wird, wenn ich aus einem Risikogebiet komme, bringt das was? Ist das überhaupt machbar?Was also können wir tun, damit genau das nicht passiert, damit wir keine vollen Intensivstationen haben und nicht wieder viele Menschen, die erkranken?Was sehen wir denn? Wir haben ganz oft und ganz viel darüber gesprochen: Sind Kinder gefährlich für die älteren Generationen? Ja oder nein? Oder sind sie genauso infektiös wie die Älteren und sind sie ansteckend? Sollte man die Kinder nicht zu den Großeltern schicken? Ja oder nein? Wir müssen wirklich mehr auf die Cluster achten? Was ist da passiert? Was haben die herausgefunden? Hat sich das Virus verändert? Und wohin bringt uns das am Ende?Komplett.Das heißt, das ist das einzige Virus, was im Moment quasi unterwegs ist.Wenn Sie das als Virologe jetzt beurteilen, wie wichtig war diese Untersuchung für Sie?",ANJA MARTINI,CHRISTIAN DROSTEN
61,60_Das Dilemma der Politik.pdf,"War das aus Ihrer Sicht ein Ausrutscher?Was befürchten Sie da?Ist denn dieses Beherbergungsverbot überhaupt sinnvoll? So ein negatives Testergebnis, das dann gefordert wird, wenn ich aus einem Risikogebiet komme, bringt das was? Ist das überhaupt machbar?Was also können wir tun, damit genau das nicht passiert, damit wir keine vollen Intensivstationen haben und nicht wieder viele Menschen, die erkranken?Was sehen wir denn? Wir haben ganz oft und ganz viel darüber gesprochen: Sind Kinder gefährlich für die älteren Generationen? Ja oder nein? Oder sind sie genauso infektiös wie die Älteren und sind sie ansteckend? Sollte man die Kinder nicht zu den Großeltern schicken? Ja oder nein? Wir müssen wirklich mehr auf die Cluster achten? Was ist da passiert? Was haben die herausgefunden? Hat sich das Virus verändert? Und wohin bringt uns das am Ende?Komplett.Das heißt, das ist das einzige Virus, was im Moment quasi unterwegs ist.Wenn Sie das als Virologe jetzt beurteilen, wie wichtig war diese Untersuchung für Sie?",ANJA MARTINI,CHRISTIAN DROSTEN
62,61_Winter is coming - Skript herunterladen.pdf,"Ist  das alles uneingeschränkt richtig? Was bedeutet das denn, wenn man das ins Verhältnis setzt zum Personal? Kann man mit so einer Größe einfach so rechnen? Oder ist das Gibt es denn eigentlich eine Reserve im System? Was hat sich denn noch verändert gegenüber dem Frühjahr? Aber wir wissen auch mehr über die Frage, wann muss man beatmen? Sind Sie da ganz anders aufgestellt? Unterstützen Sie das auch?Wenn man diesem Memorandum folgt, dann bleibt  eigentlich keine Alternative dazu, jetzt noch mal drüber nachzudenken: Was muss jetzt getan werden? Es gibt aber auch in der Berechnung dieses Kipppunkt die Frage, wie effektiv muss die Kontaktverfolgung sein, um die Situation unter Kontrolle zu behalten? Da bleibt die Frage, wie kann ich unterwegs das Ansteckungsrisiko minimieren? Welche Rolle spielen, was  haben Sie herausgefunden, Maskentragen und auf  Abstand sitzen nach Ihrer Erkenntnis im Flugzeug, aber auch in der Bahn? Nun gibt es aber eine neue Studie zur Frage: Welche Rolle spielt die Temperatur für die Überlebensdauer des Virus auf verschiedenen Oberflächen? Dann ist da aber auch Wind, da scheint vielleicht die Sonne drauf, und meine Viruslast war gar nicht so hoch, insbesondere nicht das, was dann auf meinen Fingern ankommt, Händewaschen trotzdem wichtig, aber ich muss jetzt als Normalbürger  keine große Angst haben, weil es kälter wird, das es da draußen überall auf Oberflächen wimmelt vor Viren?Und Desinfektionsmittel, noch mal, ist dann auch nicht nötig, wenn ich die Hände mit Seife gewaschen habe.Wir sind jetzt schon mittendrin in der Frage: Was kann ich persönlich tun? Wie machen Sie das, wenn Sie Freunde treffen wollen?",KORINNA HENNIG,SANDRA CIESEK
63,61_Winter is coming.pdf,"Ist  das alles uneingeschränkt richtig? Was bedeutet das denn, wenn man das ins Verhältnis setzt zum Personal? Kann man mit so einer Größe einfach so rechnen? Oder ist das Gibt es denn eigentlich eine Reserve im System? Was hat sich denn noch verändert gegenüber dem Frühjahr? Aber wir wissen auch mehr über die Frage, wann muss man beatmen? Sind Sie da ganz anders aufgestellt? Unterstützen Sie das auch?Wenn man diesem Memorandum folgt, dann bleibt  eigentlich keine Alternative dazu, jetzt noch mal drüber nachzudenken: Was muss jetzt getan werden? Es gibt aber auch in der Berechnung dieses Kipppunkt die Frage, wie effektiv muss die Kontaktverfolgung sein, um die Situation unter Kontrolle zu behalten? Da bleibt die Frage, wie kann ich unterwegs das Ansteckungsrisiko minimieren? Welche Rolle spielen, was  haben Sie herausgefunden, Maskentragen und auf  Abstand sitzen nach Ihrer Erkenntnis im Flugzeug, aber auch in der Bahn? Nun gibt es aber eine neue Studie zur Frage: Welche Rolle spielt die Temperatur für die Überlebensdauer des Virus auf verschiedenen Oberflächen? Dann ist da aber auch Wind, da scheint vielleicht die Sonne drauf, und meine Viruslast war gar nicht so hoch, insbesondere nicht das, was dann auf meinen Fingern ankommt, Händewaschen trotzdem wichtig, aber ich muss jetzt als Normalbürger  keine große Angst haben, weil es kälter wird, das es da draußen überall auf Oberflächen wimmelt vor Viren?Und Desinfektionsmittel, noch mal, ist dann auch nicht nötig, wenn ich die Hände mit Seife gewaschen habe.Wir sind jetzt schon mittendrin in der Frage: Was kann ich persönlich tun? Wie machen Sie das, wenn Sie Freunde treffen wollen?",KORINNA HENNIG,SANDRA CIESEK
64,62_Der Überlastschalter - Skript herunterladen.pdf,"Also wie viele Ältere infizieren sich, wie viele werden krank? Was ist der entscheidende Unterschied?INFEKTIONEN GESCHEHEN IN CLUSTERN Das heißt, das würde in der Folge auch zu gezielterem VorwärtsTracing sozusagen führen.Inwieweit ist denn ein retrospektives KontaktTracing überhaupt von den Regularien her möglich? Aber auch jeder Einzelne kann sich fragen: Was kann ich tun? Aber wenn man am Ende alle Gruppen  wieder zusammenrechnet, hat das insgesamt auch einen Effekt? Wenn man sich nur noch jeweils zu viert trifft, reduziert sich diese Zahl sogar um über 90 Prozent.Aber hilft das, aus Ihrer Sicht? Wenn man jetzt die Frage stellt: Welche Maßnahmen habe wir noch nicht probiert? Sind solche Unterbrechungen für Sie Grund zur Sorge,  gerade bei der Geschwindigkeit, die da in der Forschung an den Tag gelegt wird? Wie ist da die aktuelle Erkenntnislage? Gibt es Hinweise, dass diese Problematik auch in Zusammenhang mit einer Impfung gegen das Coronavirus auftauchen kann?Im Falle eines Kontakts mit dem Virus?Weil es an dem Virus klebt, der Antikörper?Wie häufig kommt das vor bei DengueInfektionen?Das heißt, für eine vollständige Infektion muss das Virus da hinein.Das heißt aber, Sie sagen, weil wir schon bei der Kritik sind, im Prinzip liegt dem Ganzen ein Denkfehler  zugrunde, weil das Virus eben in den Immunzellen dann gar nicht weiterkommt, zumindest für die  Infektion, weil es sich da nicht vermehrt.Das heißt dann aber, dass das für die Frage der Impfstoffentwicklung nicht so relevant ist, weil es nur  darum geht: Was machen die Antikörper, wenn ich einmal infiziert bin? Und es geht nicht um Doppelkontakt mit dem Virus, also einmal durch die Impfung und dann durch erneute Infektion, nur innerhalb der Krankheit.Was ist denn mit Rekonvaleszentenplasma? Bei den vielen Impfstoffen, die jetzt in der Diskussion sind, steht ganz oben die Frage: Was bewirken sie? Wie ist da Ihre Einschätzung?",KORINNA HENNIG,CHRISTIAN DROSTEN
